      MC Cycles              T              L            <E>          <|M|>            C_v            chi
        1000000            2.1            100       -1.66113       0.864316        1.21475        12.1694
        1000000           2.15            100       -1.60848       0.830112        1.36722         12.449
        1000000            2.2            100       -1.54632       0.783457         1.5802        9.56324
        1000000           2.22            100       -1.51584       0.748775        1.74807        17.7499
        1000000           2.24            100        -1.4813       0.704153        1.94615        23.7446
        1000000           2.26            100       -1.43969       0.614392        2.46415        82.5997
        1000000           2.28            100       -1.38845       0.448958        2.66421        154.567
        1000000            2.3            100        -1.3479       0.320831         2.0987        146.003
        1000000           2.35            100       -1.26548       0.151684        1.39395         49.331
