      MC Cycles              T              L            <E>          <|M|>            C_v            chi
        1000000            2.1             60       -1.66164       0.867419        1.02764         2.0009
        1000000           2.15             60       -1.60924       0.833537        1.21189        4.12302
        1000000            2.2             60       -1.54572        0.78177        1.50029        7.42926
        1000000           2.22             60       -1.51636       0.750241        1.67354        12.9102
        1000000           2.24             60       -1.48424       0.714277        1.83051        14.8454
        1000000           2.26             60       -1.44466       0.649257        1.98208        29.9159
        1000000           2.28             60       -1.40238        0.56234        2.23528        49.5432
        1000000            2.3             60       -1.35805       0.456789        2.18818        61.1238
        1000000           2.35             60       -1.26859       0.252983        1.47103         40.835
