      MC Cycles              T              L            <E>          <|M|>            C_v            chi
        1000000              2            140       -1.74011       0.841591        2.29177       -6940.88
        1000000           2.04            140       -1.70444       0.750868        3.23431        -5416.8
        1000000           2.08            140        -1.6799       0.871757        1.37599       -7161.38
        1000000           2.12            140       -1.64078       0.838193        1.65385       -6495.24
        1000000           2.16            140       -1.59757        0.82013        1.64132       -6102.96
        1000000            2.2            140       -1.54379        0.76516        1.89248       -5215.82
        1000000           2.22            140       -1.51562        0.73566        2.16388       -4778.29
        1000000           2.24            140       -1.48233       0.703038        2.02765       -4324.96
        1000000           2.26            140       -1.44215       0.629611        2.25722        -3437.9
        1000000           2.28            140       -1.38724       0.400238        2.64423       -1376.99
        1000000            2.3            140       -1.34419       0.249464         2.0515        -530.32
