          alpha         Energy  Mean Distance          Omega
            0.2       0.417148        16.6043           0.05
            0.3       0.300105        13.7845           0.05
            0.4       0.234578          11.95           0.05
            0.5        0.20072        10.7043           0.05
            0.6       0.179333        9.68288           0.05
            0.7        0.16407        8.95992           0.05
            0.8       0.156972        8.37658           0.05
            0.9       0.152309         7.9128           0.05
              1           0.15        7.46502           0.05
            1.1       0.149579        6.98649           0.05
            1.2       0.149418        6.93262           0.05
            1.3       0.150211        6.67583           0.05
            1.4       0.152827        6.38185           0.05
            1.5       0.156567        6.07961           0.05
            1.6       0.158535        5.89944           0.05
            1.7       0.161706        5.81459           0.05
            1.8       0.164386        5.63234           0.05
            1.9        0.17187        5.42251           0.05
