          Alpha           Beta         Energy       Variance  Mean Distance          Omega
            0.5              1        1.97716       0.480524        3.32533            0.5
            0.6              1        1.75836       0.231481        3.01693            0.5
            0.7              1        1.62997       0.110444        2.75732            0.5
            0.8              1        1.56836       0.042486        2.65618            0.5
            0.9              1         1.5177     0.00849857        2.45872            0.5
              1              1            1.5   3.37073e-011        2.34248            0.5
            1.1              1        1.49868     0.00689341        2.22343            0.5
            1.2              1        1.49454      0.0292312        2.15897            0.5
            1.3              1         1.5153      0.0597069        2.07242            0.5
            1.4              1        1.54357      0.0947025        2.00538            0.5
            1.5              1        1.57136       0.146585        1.92075            0.5
            1.6              1        1.60679       0.199253        1.86577            0.5
            1.7              1         1.6614       0.249778        1.79426            0.5
            1.8              1        1.69263       0.321728        1.75174            0.5
            1.9              1        1.75131       0.372379        1.69703            0.5
              2              1        1.78204       0.446762        1.66041            0.5
            2.1              1        1.84862       0.534487        1.61962            0.5
            2.2              1        1.85808       0.665655        1.60313            0.5
