          Alpha           Beta         Energy       Variance  Mean Distance          Omega
            0.5              1        1.97161       0.465379        3.33941            0.5
           0.52              1        1.90883       0.397397        3.25797            0.5
           0.54              1        1.87348       0.356952         3.2017            0.5
           0.56              1        1.83076       0.302606        3.13915            0.5
           0.58              1        1.78908       0.265462        3.07038            0.5
            0.6              1        1.76313       0.233487        3.02606            0.5
           0.62              1         1.7342       0.200941        2.98686            0.5
           0.64              1        1.70513       0.171986        2.93712            0.5
           0.66              1         1.6809       0.151446        2.89249            0.5
           0.68              1        1.66194       0.129067        2.85153            0.5
            0.7              1        1.64266       0.111195        2.81409            0.5
           0.72              1         1.6199      0.0907231        2.76463            0.5
           0.74              1        1.60426      0.0763546        2.73001            0.5
           0.76              1        1.59186      0.0636311        2.70904            0.5
           0.78              1        1.57358      0.0507208        2.64893            0.5
            0.8              1        1.56445      0.0417388        2.62894            0.5
           0.82              1        1.55204      0.0326001        2.59253            0.5
           0.84              1        1.54409      0.0255681        2.56619            0.5
           0.86              1        1.53469      0.0187057        2.52134            0.5
           0.88              1         1.5285      0.0136814        2.51289            0.5
            0.9              1        1.52054     0.00914161        2.47013            0.5
           0.92              1        1.51489     0.00566418        2.44213            0.5
           0.94              1        1.51009     0.00315314        2.42704            0.5
           0.96              1        1.50574     0.00136328        2.39699            0.5
           0.98              1        1.50281    0.000337676        2.37547            0.5
              1              1            1.5              0        2.34628            0.5
           1.02              1        1.49817      0.0003124        2.31994            0.5
           1.04              1        1.49643     0.00125662        2.30458            0.5
           1.06              1        1.49553      0.0027614        2.29427            0.5
           1.08              1        1.49496     0.00489437        2.26086            0.5
            1.1              1        1.49501     0.00756369        2.24439            0.5
           1.12              1        1.49682      0.0105021        2.21291            0.5
           1.14              1        1.49693      0.0143627        2.20666            0.5
           1.16              1        1.50068      0.0179328        2.17866            0.5
           1.18              1        1.50043      0.0230508        2.16315            0.5
            1.2              1        1.50335      0.0273786         2.1454            0.5
           1.22              1        1.50664      0.0326836        2.12561            0.5
           1.24              1        1.50787      0.0391855        2.11535            0.5
           1.26              1        1.51506      0.0437559        2.08939            0.5
           1.28              1        1.51858      0.0500142        2.06993            0.5
            1.3              1        1.52174      0.0563539         2.0575            0.5
           1.32              1        1.52678      0.0636161        2.04357            0.5
           1.34              1         1.5304      0.0714262         2.0249            0.5
           1.36              1        1.53606      0.0788609        2.01194            0.5
           1.38              1        1.53838      0.0893709        2.00351            0.5
            1.4              1        1.54329      0.0971199        1.99161            0.5
           1.42              1        1.55376       0.102163        1.96954            0.5
           1.44              1        1.55708       0.113171        1.95663            0.5
           1.46              1        1.56235       0.123352        1.94577            0.5
           1.48              1        1.57149       0.131714        1.92665            0.5
