          Alpha           Beta         Energy       Variance  Mean Distance          Omega Accepted configs (%)
           0.56           0.52      0.0909636    0.000836323        22.8702           0.01       0.632205
           0.56           0.54      0.0910667    0.000841095        22.8563           0.01       0.631014
           0.56           0.56      0.0912345    0.000868361         22.762           0.01       0.631685
           0.56           0.58      0.0913162    0.000887247        22.8104           0.01       0.631554
           0.56            0.6      0.0915644    0.000919734        22.6602           0.01       0.631111
           0.56           0.62      0.0916631    0.000939036        22.6925           0.01       0.630776
           0.56           0.64      0.0918046    0.000958372        22.6916           0.01       0.630888
           0.56           0.66      0.0918798    0.000983361         22.669           0.01       0.630812
           0.56           0.68      0.0920236     0.00100334        22.5173           0.01        0.63086
           0.58            0.2       0.086049    0.000289527        24.7982           0.01       0.636399
           0.58           0.22      0.0864998    0.000329255        24.5283           0.01       0.636357
           0.58           0.24      0.0871498    0.000376572        24.1934           0.01       0.636561
           0.58           0.26      0.0875975    0.000419953        23.8473           0.01       0.635954
           0.58           0.28      0.0880947    0.000460759        23.6382           0.01       0.635304
           0.58            0.3      0.0884128    0.000508314        23.5138           0.01        0.63503
           0.58           0.32      0.0885937    0.000532571        23.3623           0.01       0.634139
           0.58           0.34      0.0892585    0.000584417        23.1583           0.01       0.633936
           0.58           0.36       0.089442    0.000610027        23.0446           0.01       0.634135
           0.58           0.38      0.0897877    0.000656312         22.995           0.01       0.633556
           0.58            0.4      0.0901576    0.000699756        22.7818           0.01       0.633897
           0.58           0.42      0.0903045    0.000727919        22.8117           0.01       0.633474
           0.58           0.44      0.0904869    0.000745649        22.6626           0.01       0.632477
           0.58           0.46      0.0906279    0.000773857        22.6564           0.01        0.63282
           0.58           0.48      0.0907576    0.000795096        22.6178           0.01       0.631503
           0.58            0.5       0.091153    0.000826828        22.4757           0.01       0.631832
           0.58           0.52      0.0909427    0.000841311        22.5671           0.01       0.631061
           0.58           0.54      0.0911989    0.000874129        22.4212           0.01       0.631558
           0.58           0.56      0.0915688    0.000903788        22.3848           0.01       0.631507
           0.58           0.58       0.091608     0.00090673        22.3444           0.01       0.631219
           0.58            0.6      0.0916449     0.00094628        22.3282           0.01        0.63178
           0.58           0.62      0.0917504    0.000941074         22.338           0.01       0.630345
           0.58           0.64      0.0917362    0.000966665        22.3966           0.01        0.63037
           0.58           0.66      0.0919776    0.000984891        22.2892           0.01       0.630498
           0.58           0.68      0.0919256     0.00100139        22.2725           0.01        0.63117
            0.6            0.2      0.0859782    0.000295327        24.3856           0.01       0.637339
            0.6           0.22      0.0867176    0.000344045        24.0325           0.01       0.636799
            0.6           0.24      0.0871921    0.000387343        23.7801           0.01       0.636063
            0.6           0.26      0.0876814    0.000434705        23.5851           0.01       0.635993
            0.6           0.28       0.088143    0.000476702        23.2767           0.01       0.635051
            0.6            0.3      0.0884949    0.000513203        23.1378           0.01       0.634984
            0.6           0.32      0.0890593    0.000562383        22.9403           0.01       0.634851
            0.6           0.34      0.0893332    0.000601522         22.783           0.01       0.634582
            0.6           0.36      0.0894088    0.000623327        22.7445           0.01       0.633064
            0.6           0.38      0.0901342     0.00068596        22.5465           0.01       0.634456
            0.6            0.4      0.0901464    0.000713616        22.5487           0.01       0.633132
            0.6           0.42      0.0903663    0.000742989         22.451           0.01       0.633046
            0.6           0.44      0.0905523    0.000765124        22.4357           0.01       0.632831
            0.6           0.46      0.0909837    0.000803627        22.2822           0.01       0.632313
            0.6           0.48      0.0910186    0.000831215        22.2562           0.01        0.63311
            0.6            0.5      0.0911189    0.000846445        22.2176           0.01       0.632213
            0.6           0.52      0.0912252     0.00088318        22.2048           0.01        0.63123
            0.6           0.54      0.0914841    0.000908406        22.1261           0.01       0.632312
            0.6           0.56      0.0915219    0.000922762        22.0681           0.01       0.631637
            0.6           0.58       0.091827    0.000947172        21.9978           0.01       0.631687
            0.6            0.6      0.0920072    0.000993346        21.9221           0.01       0.630854
            0.6           0.62      0.0921268     0.00100373        21.8724           0.01       0.631292
            0.6           0.64      0.0920478     0.00100643        21.8489           0.01       0.630986
            0.6           0.66      0.0920608     0.00101836        21.9686           0.01       0.631117
            0.6           0.68      0.0922965     0.00103553        21.8441           0.01       0.630679
           0.62            0.2      0.0860977    0.000300234         23.923           0.01        0.63576
           0.62           0.22      0.0866217     0.00035422        23.7266           0.01       0.637225
           0.62           0.24      0.0871927    0.000398051        23.4594           0.01       0.636365
           0.62           0.26      0.0877654    0.000446951        23.0985           0.01       0.636142
           0.62           0.28      0.0882741     0.00049128        22.9477           0.01        0.63498
           0.62            0.3      0.0887339    0.000547458        22.7334           0.01       0.635167
           0.62           0.32      0.0891682    0.000585907        22.5466           0.01       0.634605
           0.62           0.34      0.0895398     0.00063269        22.4485           0.01       0.634422
           0.62           0.36       0.089624    0.000648781        22.4383           0.01       0.633666
           0.62           0.38      0.0903114    0.000709691        22.1632           0.01       0.633682
           0.62            0.4      0.0902251    0.000719529        22.2048           0.01       0.632915
           0.62           0.42      0.0906808    0.000769039        22.0838           0.01       0.633749
           0.62           0.44      0.0908899    0.000806244        21.9887           0.01       0.632852
           0.62           0.46      0.0911171     0.00082841        21.8968           0.01       0.633092
           0.62           0.48      0.0912674    0.000872735        21.9442           0.01       0.631814
           0.62            0.5      0.0915001     0.00088429        21.7559           0.01       0.632439
           0.62           0.52      0.0916847    0.000905433        21.7595           0.01       0.631243
           0.62           0.54      0.0918822    0.000928161        21.6665           0.01       0.632674
           0.62           0.56      0.0917135    0.000952817        21.7786           0.01       0.631614
           0.62           0.58      0.0921856    0.000985983        21.6009           0.01       0.630494
           0.62            0.6      0.0921728      0.0010087        21.6467           0.01       0.630875
           0.62           0.62      0.0924382     0.00103715        21.6122           0.01       0.631395
           0.62           0.64      0.0922224     0.00105055        21.6969           0.01       0.630057
           0.62           0.66      0.0922694     0.00106405        21.5803           0.01       0.630928
           0.62           0.68      0.0925123     0.00107801        21.5893           0.01       0.630567
           0.64            0.2      0.0860551    0.000310268        23.6472           0.01       0.637503
           0.64           0.22      0.0867677    0.000364722        23.3057           0.01       0.636492
           0.64           0.24      0.0874386    0.000418525        23.0025           0.01       0.636205
           0.64           0.26      0.0880006    0.000464216        22.7789           0.01       0.635767
           0.64           0.28       0.088429    0.000504815        22.5947           0.01        0.63519
           0.64            0.3      0.0889236    0.000553114        22.4284           0.01       0.634754
           0.64           0.32        0.08928    0.000604236        22.2723           0.01       0.634637
           0.64           0.34      0.0898705    0.000649887        22.0564           0.01       0.634009
           0.64           0.36      0.0900484    0.000679383        22.0325           0.01       0.633557
           0.64           0.38      0.0903394    0.000723821        21.9633           0.01       0.633455
           0.64            0.4       0.090664    0.000760941        21.8202           0.01       0.633004
           0.64           0.42      0.0909708    0.000798788        21.7096           0.01        0.63328
           0.64           0.44      0.0912333    0.000824082        21.5994           0.01       0.633104
           0.64           0.46      0.0914236    0.000865805        21.5665           0.01       0.633488
           0.64           0.48      0.0914239    0.000880436        21.5457           0.01       0.631683
           0.64            0.5      0.0916743    0.000911301        21.5038           0.01       0.631953
           0.64           0.52      0.0920845    0.000959103        21.4365           0.01       0.631849
           0.64           0.54      0.0920516    0.000993281        21.4556           0.01       0.632526
           0.64           0.56      0.0921823    0.000996272        21.3412           0.01       0.631539
           0.64           0.58      0.0923299     0.00102189        21.3571           0.01       0.631554
