          Alpha           Beta         Energy       Variance  Mean Distance          Omega Accepted configs (%)
            0.5            0.2        2.52118       0.514656        3.97038            0.5       0.643752
            0.5           0.22        2.51975       0.514265        3.94721            0.5       0.643136
            0.5           0.24        2.49576       0.488244        3.89929            0.5        0.64256
            0.5           0.26        2.48252        0.48041         3.8547            0.5        0.64228
            0.5           0.28        2.47603        0.47785        3.82726            0.5       0.641892
            0.5            0.3        2.46147       0.460489        3.79077            0.5       0.641203
            0.5           0.32        2.44767       0.452053        3.76568            0.5       0.639989
            0.5           0.34        2.45063       0.451781         3.7559            0.5       0.639551
            0.5           0.36        2.43582       0.440351        3.71923            0.5       0.639743
            0.5           0.38        2.42553       0.428614        3.69057            0.5       0.639276
            0.5            0.4        2.41672       0.424672        3.67303            0.5       0.638745
            0.5           0.42        2.41887       0.428644        3.65241            0.5       0.638728
            0.5           0.44        2.41274       0.413914        3.64408            0.5       0.638056
            0.5           0.46        2.41058       0.416768        3.62615            0.5        0.63714
            0.5           0.48         2.4042       0.410927        3.61826            0.5       0.636589
            0.5            0.5        2.39821       0.411635        3.59329            0.5       0.637162
            0.5           0.52        2.38992        0.39733        3.58902            0.5       0.636416
            0.5           0.54        2.39376       0.402331        3.58189            0.5       0.636124
            0.5           0.56        2.39319       0.402472        3.56264            0.5        0.63539
            0.5           0.58        2.39192        0.39841         3.5529            0.5       0.635821
            0.5            0.6        2.38815       0.395781        3.54873            0.5       0.636276
            0.5           0.62        2.38659       0.397429        3.52895            0.5       0.635962
            0.5           0.64        2.37949       0.389051        3.52058            0.5       0.635347
            0.5           0.66        2.38359       0.394447        3.52921            0.5       0.634854
            0.5           0.68        2.37305       0.381871        3.51287            0.5       0.634763
           0.52            0.2        2.48446       0.462528        3.91655            0.5       0.643069
           0.52           0.22        2.45779       0.435661        3.86125            0.5       0.642759
           0.52           0.24         2.4383       0.419078        3.81162            0.5        0.64307
           0.52           0.26        2.43981       0.423205        3.79239            0.5       0.642064
           0.52           0.28        2.42304       0.408731        3.75673            0.5       0.641395
           0.52            0.3        2.40645       0.396778         3.7168            0.5        0.64201
           0.52           0.32        2.40071       0.391167        3.69359            0.5       0.640047
           0.52           0.34        2.39583       0.388419        3.67589            0.5       0.639988
           0.52           0.36        2.38235       0.375172        3.64794            0.5       0.639719
           0.52           0.38        2.38259       0.374883        3.63007            0.5       0.639095
           0.52            0.4        2.36691       0.366006        3.59564            0.5       0.638623
           0.52           0.42        2.37217       0.364561        3.58854            0.5       0.638288
           0.52           0.44        2.36004         0.3539        3.56377            0.5       0.638133
           0.52           0.46        2.36708        0.36194        3.56575            0.5       0.637321
           0.52           0.48        2.35919       0.358477        3.54574            0.5       0.637507
           0.52            0.5        2.34885       0.346259        3.52172            0.5       0.637038
           0.52           0.52        2.35381       0.352328         3.5199            0.5       0.636232
           0.52           0.54        2.35227       0.349163        3.51043            0.5       0.636497
           0.52           0.56        2.34073       0.345886        3.48846            0.5       0.636059
           0.52           0.58        2.34078       0.343536        3.48459            0.5       0.635737
           0.52            0.6        2.34295       0.345444        3.48643            0.5       0.635496
           0.52           0.62        2.33949       0.341243        3.47302            0.5       0.635018
           0.52           0.64        2.34034       0.341998        3.45691            0.5       0.635574
           0.52           0.66        2.33525       0.344343         3.4446            0.5        0.63492
           0.52           0.68        2.33349       0.338087        3.44488            0.5       0.635403
           0.54            0.2        2.42581       0.402436        3.83499            0.5       0.644589
           0.54           0.22        2.40799       0.383317        3.78916            0.5       0.643354
           0.54           0.24        2.39512       0.372662        3.75605            0.5       0.642901
           0.54           0.26        2.38729        0.36673        3.72398            0.5       0.641931
           0.54           0.28        2.37371       0.351459         3.6838            0.5       0.642105
           0.54            0.3        2.36623       0.348448        3.65793            0.5       0.640807
           0.54           0.32        2.35286       0.332017        3.61563            0.5       0.641328
           0.54           0.34         2.3415       0.326474        3.57725            0.5       0.639907
           0.54           0.36        2.34212       0.330162        3.58081            0.5       0.639267
           0.54           0.38        2.33262       0.320084        3.54514            0.5       0.639891
           0.54            0.4        2.33075       0.316277        3.54144            0.5       0.638886
           0.54           0.42         2.3251       0.309437         3.5379            0.5       0.638402
           0.54           0.44        2.32518       0.309476        3.51394            0.5       0.637946
           0.54           0.46        2.31866       0.310369        3.49188            0.5       0.638564
           0.54           0.48        2.31817       0.304483        3.47755            0.5       0.637609
           0.54            0.5        2.31063       0.304795        3.47287            0.5       0.637099
           0.54           0.52        2.30811       0.299924         3.4508            0.5       0.636792
           0.54           0.54         2.3038       0.295813        3.43946            0.5       0.636629
           0.54           0.56        2.30011       0.293799        3.42678            0.5       0.637229
           0.54           0.58        2.30716       0.299191        3.42138            0.5       0.636297
           0.54            0.6        2.29793       0.289352        3.40492            0.5       0.635618
           0.54           0.62        2.29597       0.289233        3.39245            0.5       0.635129
           0.54           0.64        2.30221       0.297867        3.41306            0.5       0.636003
           0.54           0.66         2.2964       0.289818        3.38626            0.5       0.635579
           0.54           0.68         2.2942       0.293097        3.38743            0.5       0.634579
           0.56            0.2        2.37765        0.34196        3.76674            0.5       0.644002
           0.56           0.22        2.35696       0.330652         3.7136            0.5        0.64325
           0.56           0.24         2.3525       0.325433        3.67334            0.5       0.642643
           0.56           0.26        2.33726       0.318199        3.64419            0.5       0.642058
           0.56           0.28        2.32613        0.30272        3.61167            0.5       0.640735
           0.56            0.3        2.32438       0.301954        3.58521            0.5        0.64098
           0.56           0.32        2.31558       0.294909        3.55668            0.5       0.640384
           0.56           0.34        2.30146       0.283283        3.52273            0.5       0.639663
           0.56           0.36        2.29759       0.278777        3.50624            0.5       0.639725
           0.56           0.38         2.2986       0.280305        3.49383            0.5       0.639131
           0.56            0.4        2.29302       0.275942        3.47935            0.5       0.638893
           0.56           0.42        2.28578       0.267581        3.44361            0.5       0.638821
           0.56           0.44        2.28594       0.268106        3.44317            0.5       0.638478
           0.56           0.46        2.28154       0.267266        3.43375            0.5       0.637878
           0.56           0.48        2.27787       0.263226        3.41441            0.5       0.637909
           0.56            0.5         2.2779       0.263992        3.41874            0.5       0.637176
           0.56           0.52        2.27447       0.261505        3.38534            0.5        0.63669
