          Alpha           Beta         Energy       Variance  Mean Distance          Omega
           0.58           0.64         4.2396        0.93933        2.32049              1
           0.58           0.66        4.24711       0.937852        2.32281              1
           0.58           0.68        4.24425       0.943946        2.31519              1
            0.6            0.2        4.37414        1.13067        2.53347              1
            0.6           0.22        4.34732        1.07917        2.50493              1
            0.6           0.24        4.32871         1.0452        2.48213              1
            0.6           0.26        4.30755       0.999408        2.45912              1
            0.6           0.28        4.29989        1.00971        2.44798              1
            0.6            0.3        4.30419        1.01268        2.44033              1
            0.6           0.32         4.2682       0.942217        2.41624              1
            0.6           0.34         4.2589       0.935786        2.40836              1
            0.6           0.36        4.27473       0.945405        2.40007              1
            0.6           0.38         4.2563       0.920086        2.37904              1
            0.6            0.4        4.24093       0.902018        2.37306              1
            0.6           0.42        4.23848       0.892678        2.36368              1
            0.6           0.44        4.22635       0.894544        2.35437              1
            0.6           0.46        4.21791       0.881824        2.33948              1
            0.6           0.48        4.22036       0.853857        2.34052              1
            0.6            0.5        4.20559       0.850958        2.32839              1
            0.6           0.52        4.20136       0.825869        2.33115              1
            0.6           0.54        4.18802       0.830059        2.30872              1
            0.6           0.56        4.18909       0.822669        2.30168              1
            0.6           0.58        4.20042       0.839695        2.30269              1
            0.6            0.6        4.18525       0.827823         2.2955              1
            0.6           0.62        4.19296       0.833497        2.29688              1
            0.6           0.64        4.17685       0.805754        2.28831              1
            0.6           0.66        4.18077       0.805386        2.28376              1
            0.6           0.68        4.17163       0.804287        2.27868              1
           0.62            0.2        4.30794       0.990418        2.48742              1
           0.62           0.22        4.29139       0.936764         2.4726              1
           0.62           0.24        4.25958       0.905036        2.44012              1
           0.62           0.26        4.24164       0.880083        2.41926              1
           0.62           0.28        4.24305       0.878999        2.41025              1
           0.62            0.3        4.22961         0.8513        2.39603              1
           0.62           0.32        4.21753       0.830895        2.38207              1
           0.62           0.34        4.20294       0.810466        2.36992              1
           0.62           0.36        4.19272       0.796085        2.34676              1
           0.62           0.38        4.18264       0.774159        2.34149              1
           0.62            0.4        4.18308       0.776392        2.33254              1
           0.62           0.42        4.18005       0.781369        2.32896              1
           0.62           0.44        4.16733       0.763692        2.31244              1
           0.62           0.46        4.16424        0.76059        2.31271              1
           0.62           0.48        4.15631       0.741601         2.2962              1
           0.62            0.5        4.15625       0.749176        2.29285              1
           0.62           0.52        4.15482       0.735152        2.28871              1
           0.62           0.54        4.14906       0.723443        2.28188              1
           0.62           0.56        4.13659       0.704663        2.27107              1
           0.62           0.58        4.13834       0.712762        2.26865              1
           0.62            0.6        4.13282       0.702426         2.2584              1
           0.62           0.62        4.12633       0.708454        2.25429              1
           0.62           0.64        4.13139       0.689121         2.2608              1
           0.62           0.66        4.12367       0.695267        2.24723              1
           0.62           0.68        4.12405       0.692822        2.24455              1
           0.64            0.2        4.23855       0.842886        2.44269              1
           0.64           0.22        4.22353        0.81746        2.42125              1
           0.64           0.24        4.20351       0.795268        2.40183              1
