          Alpha           Beta         Energy       Variance  Mean Distance          Omega
            0.9            0.6        3.75055      0.0259198        1.87443              1
            0.9           0.62        3.75091      0.0266176        1.87035              1
            0.9           0.64        3.75136      0.0277456        1.86909              1
            0.9           0.66        3.75033      0.0284597         1.8676              1
            0.9           0.68        3.74963      0.0296045        1.86341              1
           0.92            0.2        3.77496      0.0396942        2.01118              1
           0.92           0.22        3.77016      0.0337858        1.99921              1
           0.92           0.24        3.76723      0.0288682        1.99102              1
           0.92           0.26        3.76357        0.02506        1.97197              1
           0.92           0.28        3.75759      0.0216214        1.95126              1
           0.92            0.3        3.75839      0.0197485        1.95565              1
           0.92           0.32        3.75497       0.017596        1.94286              1
           0.92           0.34        3.75267       0.016015        1.93087              1
           0.92           0.36        3.75192      0.0153949        1.92233              1
           0.92           0.38        3.74985      0.0145336        1.92078              1
           0.92            0.4         3.7488      0.0142507        1.90504              1
           0.92           0.42        3.74807      0.0141205        1.90711              1
           0.92           0.44        3.74594      0.0138706        1.89468              1
           0.92           0.46        3.74564      0.0141299        1.88885              1
           0.92           0.48        3.74511      0.0145899        1.88686              1
           0.92            0.5        3.74449      0.0151581        1.88209              1
           0.92           0.52         3.7431      0.0155854        1.87094              1
           0.92           0.54        3.74307        0.01649        1.86128              1
           0.92           0.56        3.74292      0.0173837        1.86963              1
           0.92           0.58        3.74344      0.0185596        1.86608              1
           0.92            0.6        3.74265      0.0192668        1.85728              1
           0.92           0.62        3.74184      0.0203854        1.86248              1
           0.92           0.64        3.74214      0.0213544        1.84548              1
           0.92           0.66        3.74157      0.0226706        1.84551              1
           0.92           0.68        3.74141      0.0238622        1.85163              1
           0.94            0.2        3.76223      0.0253253        1.98381              1
           0.94           0.22        3.75942       0.020691        1.97673              1
           0.94           0.24        3.75491      0.0166936        1.96144              1
           0.94           0.26        3.75211      0.0139591        1.95691              1
           0.94           0.28        3.74937      0.0115916        1.93868              1
           0.94            0.3         3.7471     0.00979432        1.92583              1
           0.94           0.32        3.74551     0.00889823         1.9185              1
           0.94           0.34        3.74378     0.00791073        1.91294              1
           0.94           0.36        3.74259     0.00738369        1.90301              1
           0.94           0.38        3.74208     0.00743726        1.89896              1
           0.94            0.4        3.74019     0.00739077        1.88681              1
           0.94           0.42        3.74053     0.00791302        1.88518              1
           0.94           0.44        3.73873     0.00811186        1.87198              1
           0.94           0.46        3.73766      0.0087536        1.87283              1
           0.94           0.48        3.73767     0.00961745        1.86798              1
           0.94            0.5         3.7376      0.0105401        1.85847              1
           0.94           0.52        3.73689      0.0114973        1.85538              1
           0.94           0.54        3.73604      0.0126379        1.84759              1
           0.94           0.56         3.7358      0.0136471        1.84801              1
           0.94           0.58        3.73671      0.0151846        1.83506              1
           0.94            0.6        3.73669      0.0164855        1.83156              1
           0.94           0.62        3.73681      0.0177114        1.83267              1
           0.94           0.64        3.73682      0.0192904        1.82585              1
           0.94           0.66        3.73643      0.0205878        1.82094              1
           0.94           0.68        3.73683      0.0222528        1.81583              1
           0.96            0.2        3.75391       0.015056        1.97383              1
           0.96           0.22        3.75028      0.0111778        1.95863              1
           0.96           0.24        3.74638     0.00834158        1.94218              1
           0.96           0.26        3.74335     0.00623052        1.92752              1
           0.96           0.28        3.74157     0.00477711        1.92638              1
           0.96            0.3        3.73913     0.00370148        1.91074              1
           0.96           0.32        3.73762      0.0031625        1.89429              1
           0.96           0.34        3.73699     0.00306203        1.89897              1
           0.96           0.36        3.73612      0.0031186        1.87264              1
           0.96           0.38        3.73513     0.00347158        1.87751              1
           0.96            0.4        3.73372     0.00398951        1.86716              1
           0.96           0.42        3.73292     0.00474465        1.85694              1
           0.96           0.44         3.7332     0.00576964        1.85628              1
           0.96           0.46        3.73236     0.00682309        1.85489              1
           0.96           0.48        3.73211     0.00796871        1.84364              1
           0.96            0.5        3.73169     0.00918587        1.84044              1
           0.96           0.52        3.73207      0.0106172        1.83418              1
           0.96           0.54        3.73059       0.012003        1.83121              1
           0.96           0.56        3.73093      0.0134191        1.82697              1
           0.96           0.58        3.73221      0.0151451        1.81251              1
           0.96            0.6        3.73198      0.0167664        1.81607              1
           0.96           0.62        3.73117      0.0182092        1.81229              1
           0.96           0.64        3.73055      0.0197911          1.818              1
           0.96           0.66        3.73177      0.0216162        1.81069              1
           0.96           0.68        3.73169      0.0234001        1.80753              1
           0.98            0.2        3.74489     0.00782183        1.95159              1
           0.98           0.22        3.74129     0.00501653         1.9335              1
           0.98           0.24        3.73862     0.00306083        1.92248              1
           0.98           0.26        3.73678     0.00180136        1.91059              1
           0.98           0.28        3.73468     0.00102906        1.90211              1
           0.98            0.3        3.73292    0.000718502        1.89097              1
           0.98           0.32        3.73199    0.000808259        1.87989              1
           0.98           0.34        3.73069      0.0011662        1.87073              1
           0.98           0.36        3.73018     0.00181755        1.85673              1
           0.98           0.38        3.72932     0.00268326        1.85729              1
           0.98            0.4         3.7287     0.00373069        1.84973              1
           0.98           0.42        3.72876     0.00494412        1.84098              1
           0.98           0.44        3.72817     0.00632392        1.83741              1
           0.98           0.46        3.72834      0.0077843        1.82675              1
           0.98           0.48        3.72727     0.00929833        1.82888              1
           0.98            0.5        3.72826      0.0109399        1.81793              1
           0.98           0.52        3.72812      0.0127477        1.81345              1
           0.98           0.54        3.72734      0.0144053        1.81599              1
           0.98           0.56        3.72842      0.0162352        1.80298              1
           0.98           0.58        3.72853      0.0181018          1.799              1
           0.98            0.6        3.72791      0.0200183        1.80249              1
           0.98           0.62        3.72975      0.0218023        1.78828              1
           0.98           0.64        3.72855      0.0236977        1.79237              1
           0.98           0.66          3.729      0.0255647        1.78837              1
           0.98           0.68        3.72961      0.0277067        1.78401              1
