          Alpha           Beta        Kinetic   Kin Variance      Potential   Pot Variance  Mean Distance         Omega  Accepted configs (%)
           0.98           0.48      0.0134138     0.00225482      0.0868654     0.00156984        17.4313           0.01       0.633552
           0.98           0.48      0.0399376      0.0128821       0.170652      0.0042308        10.2354      0.0302041       0.634307
           0.98           0.48      0.0658225      0.0298047       0.239949     0.00682476        7.98309      0.0504082       0.635005
           0.98           0.48      0.0923862      0.0522649       0.301986     0.00971573        6.77719      0.0706122       0.635518
           0.98           0.48       0.118212      0.0778052       0.361637      0.0149359        5.98753      0.0908163       0.636029
           0.98           0.48       0.144394       0.112637        0.41798      0.0161026        5.43442        0.11102       0.636726
           0.98           0.48       0.172161       0.150305       0.471549      0.0207877        4.98862       0.131224       0.636059
           0.98           0.48       0.195011       0.189394       0.527538      0.0258784        4.68345       0.151429       0.635975
           0.98           0.48       0.222999       0.237059       0.578034      0.0307104        4.39468       0.171633       0.637149
           0.98           0.48       0.246849       0.284301        0.63133      0.0378116        4.16691       0.191837       0.637157
           0.98           0.48       0.274374       0.342368       0.680988      0.0421971        3.95946       0.212041       0.637956
           0.98           0.48       0.300401       0.401442       0.730845      0.0488724        3.78807       0.232245       0.637125
           0.98           0.48       0.325108       0.460586       0.782303      0.0596389        3.62597       0.252449       0.637915
           0.98           0.48       0.351443       0.530188       0.830802      0.0655931        3.49231       0.272653       0.637621
           0.98           0.48       0.378422       0.604623       0.877962       0.071869        3.37433       0.292857       0.637765
           0.98           0.48       0.404987       0.677191       0.926296      0.0852925        3.25366       0.313061       0.638896
           0.98           0.48       0.430304       0.759227       0.974224      0.0914734        3.15728       0.333265       0.637402
           0.98           0.48       0.453745        0.83711         1.0242       0.104939        3.07329       0.353469       0.637831
           0.98           0.48       0.479078        0.92318        1.07186       0.116481        2.98979       0.373673       0.637491
           0.98           0.48       0.505165        1.01562        1.11784       0.126421        2.91857       0.393878       0.637706
           0.98           0.48       0.530083        1.11138        1.16509       0.136402        2.84915       0.414082       0.638001
           0.98           0.48       0.559189        1.21185        1.20963       0.153693        2.76744       0.434286       0.638013
           0.98           0.48       0.584163        1.31844        1.25578       0.161385        2.71345        0.45449       0.638148
           0.98           0.48       0.609222        1.42461        1.30338       0.176247        2.64856       0.474694       0.638087
           0.98           0.48        0.63539        1.53232        1.34776        0.19298        2.60191       0.494898       0.638458
           0.98           0.48       0.661708        1.65101        1.39281        0.20472        2.54852       0.515102       0.638452
           0.98           0.48       0.681668        1.75084        1.44293       0.228865        2.51443       0.535306       0.638028
           0.98           0.48        0.71191        1.89286        1.48533       0.234528        2.45296        0.55551       0.638611
           0.98           0.48        0.74238        2.01527         1.5254       0.261885        2.40794       0.575714       0.637734
           0.98           0.48       0.762608        2.14066        1.57555       0.274604        2.37123       0.595918       0.638463
           0.98           0.48       0.791421        2.28548        1.61784       0.287534        2.32811       0.616122       0.638876
           0.98           0.48       0.815399        2.41849        1.66408       0.307447        2.29279       0.636327       0.638501
           0.98           0.48       0.842178         2.5599        1.70727       0.327738        2.25873       0.656531       0.637759
           0.98           0.48       0.873494        2.72094        1.74646       0.341935        2.21895       0.676735       0.638094
           0.98           0.48        0.88837        2.83597        1.80154       0.376643        2.19169       0.696939       0.637711
           0.98           0.48        0.91946         2.8992        1.84054       0.496965        2.15585       0.717143       0.637801
           0.98           0.48       0.935013        3.13449        1.89404       0.418859        2.13535       0.737347        0.63772
           0.98           0.48       0.966825        3.30022        1.93242       0.447693         2.1003       0.757551       0.638211
           0.98           0.48       0.995283        3.48099         1.9736       0.458717        2.07063       0.777755       0.638252
           0.98           0.48        1.01463        3.62661        2.02253       0.488616        2.05546       0.797959       0.638016
           0.98           0.48        1.03897        3.80212        2.06758       0.505019        2.03016       0.818163       0.638049
           0.98           0.48        1.06874        3.98137        2.10852       0.536375        1.99431       0.838367       0.638612
           0.98           0.48        1.09187        4.14885        2.15438       0.566329        1.97315       0.858571       0.637546
           0.98           0.48        1.12316        4.33745        2.19135       0.595357        1.95292       0.878776       0.638554
           0.98           0.48        1.15463        4.55731        2.22956       0.601534        1.92487        0.89898       0.638117
           0.98           0.48        1.17778        4.71839         2.2749        0.65025        1.90658       0.919184       0.638439
           0.98           0.48        1.20041        4.91904        2.32167       0.664745         1.8837       0.939388        0.63784
           0.98           0.48        1.22104         5.0832        2.36892        0.71156        1.87151       0.959592       0.638405
           0.98           0.48         1.2464        5.29249        2.41179       0.729131         1.8545       0.979796       0.637884
           0.98           0.48        1.26991        5.48833        2.45802       0.763915        1.82811              1       0.638101
