          Alpha           Beta        Kinetic   Kin Variance      Potential   Pot Variance  Mean Distance         Omega  Accepted configs (%)
           0.98            0.3      0.0131826    0.000448191      0.0176825   8.82995e-005        18.2118           0.01       0.636136
           0.98            0.3      0.0390832     0.00386183      0.0548249    0.000829612        10.7789      0.0302041       0.637117
           0.98            0.3      0.0645263      0.0109344      0.0924939     0.00233664        8.42044      0.0504082       0.638248
           0.98            0.3      0.0904603      0.0214219       0.129616     0.00456998        7.12734      0.0706122       0.639149
           0.98            0.3       0.115597      0.0340088       0.167736     0.00771127        6.31372      0.0908163       0.639106
           0.98            0.3       0.141181      0.0515147        0.20544       0.011561        5.72436        0.11102       0.640028
           0.98            0.3       0.166493      0.0704373       0.243174      0.0162946        5.27109       0.131224       0.639775
           0.98            0.3       0.190493      0.0931231       0.281751       0.022034        4.91165       0.151429       0.640895
           0.98            0.3        0.21544       0.119594       0.320316      0.0281134        4.63127       0.171633       0.640322
           0.98            0.3       0.242339       0.148235        0.35618      0.0353951        4.37216       0.191837       0.641262
           0.98            0.3       0.263939       0.179503       0.397857      0.0443968        4.16853       0.212041       0.641074
           0.98            0.3       0.290587       0.215832       0.433336      0.0527141        3.97682       0.232245       0.640753
           0.98            0.3       0.318828       0.256818        0.46794      0.0597412        3.80694       0.252449       0.641291
           0.98            0.3       0.340276       0.295231       0.509754      0.0723512        3.67071       0.272653       0.640895
           0.98            0.3       0.365862       0.339062       0.547363      0.0832107        3.54953       0.292857       0.641003
           0.98            0.3       0.394922       0.390577       0.579434      0.0929115        3.40757       0.313061       0.641282
           0.98            0.3       0.418943       0.441745       0.618395       0.105002        3.30551       0.333265        0.64114
           0.98            0.3       0.445544       0.496184       0.654519       0.119861        3.20821       0.353469        0.64242
           0.98            0.3       0.466426       0.557298       0.696835       0.133379        3.12921       0.373673        0.64121
           0.98            0.3       0.491481       0.609126       0.734567        0.15153        3.04559       0.393878       0.641471
           0.98            0.3       0.517571       0.675116       0.770535       0.167108        2.96578       0.414082       0.641163
           0.98            0.3       0.541482       0.737523       0.809686       0.181647        2.89987       0.434286       0.641778
           0.98            0.3       0.568333       0.817173       0.844994       0.198619        2.82889        0.45449       0.641806
           0.98            0.3       0.591688       0.878618        0.88333       0.217751        2.76966       0.474694       0.641107
           0.98            0.3        0.62056       0.962703       0.917723       0.232358        2.71151       0.494898       0.641558
           0.98            0.3       0.645421        1.03474       0.955341       0.255654        2.65878       0.515102       0.641162
           0.98            0.3       0.671101        1.11431       0.990699       0.277371        2.59953       0.535306       0.642073
           0.98            0.3       0.691022        1.19303        1.03554       0.303526         2.5632        0.55551       0.640605
           0.98            0.3        0.71655        1.28424        1.07107       0.323897        2.51233       0.575714       0.642015
           0.98            0.3       0.741713        1.37174        1.10842        0.34629        2.46464       0.595918        0.64139
           0.98            0.3       0.765652        1.47123        1.14684       0.369361        2.43031       0.616122       0.641555
           0.98            0.3       0.799688        1.58426        1.17169       0.381015        2.37089       0.636327        0.64193
           0.98            0.3       0.819709        1.66911        1.21843       0.415792        2.35271       0.656531       0.641623
           0.98            0.3       0.846087         1.8337        1.25334       0.440578        2.31192       0.676735       0.641958
           0.98            0.3       0.870575        1.87851        1.29043        0.46202        2.27444       0.696939       0.641711
           0.98            0.3       0.891924        1.97488        1.33129       0.503818         2.2443       0.717143       0.640843
           0.98            0.3       0.919904        2.09632        1.36653       0.522492        2.21189       0.737347        0.64088
           0.98            0.3       0.943309        2.20611        1.40447       0.552913        2.18194       0.757551       0.641568
           0.98            0.3       0.973618        2.32694        1.43733       0.584219        2.15355       0.777755       0.641017
           0.98            0.3        1.00797        2.46586        1.45933       0.601255        2.10758       0.797959       0.642211
           0.98            0.3        1.02231        2.56538        1.51175       0.646541        2.09504       0.818163       0.641243
           0.98            0.3        1.04492        2.69102        1.55435       0.679999        2.07617       0.838367       0.641183
           0.98            0.3         1.0843        2.85618        1.57321       0.690819        2.03879       0.858571       0.642083
           0.98            0.3        1.09836        2.95055         1.6229       0.750103        2.02298       0.878776       0.640943
           0.98            0.3          1.121        3.09454        1.66196       0.773058        1.99763        0.89898       0.640823
           0.98            0.3        1.15897        3.24744        1.68259       0.802399        1.96639       0.919184       0.641816
           0.98            0.3        1.18057        3.38562        1.72351        0.84097        1.94142       0.939388        0.64055
           0.98            0.3        1.20004        3.51981        1.76905       0.879589        1.92846       0.959592       0.641308
           0.98            0.3        1.21792        3.64872         1.8154       0.937714        1.91707       0.979796       0.641507
           0.98            0.3        1.25114        3.82392        1.84188       0.960136        1.89192              1       0.641518
