          Alpha           Beta        Kinetic   Kin Variance      Potential   Pot Variance  Mean Distance         Omega  Accepted configs (%)
           0.98           0.48      0.0133139     0.00226445         0.0869     0.00155902        17.4979           0.01        0.63249
           0.98           0.48      0.0400077      0.0128998       0.170742     0.00424965        10.2138      0.0302041       0.634923
           0.98           0.48      0.0659439      0.0295914       0.239463      0.0069519        7.99768      0.0504082       0.634423
           0.98           0.48       0.091892      0.0518421       0.302745      0.0100407        6.77045      0.0706122       0.635344
           0.98           0.48       0.117607      0.0794031       0.361487      0.0127941        6.01159      0.0908163       0.636293
           0.98           0.48       0.145069       0.112301       0.417373      0.0169114        5.43071        0.11102       0.636487
           0.98           0.48        0.17137       0.150207       0.472573      0.0206234         4.9916       0.131224        0.63635
           0.98           0.48       0.196227       0.190422       0.526445      0.0255906        4.66986       0.151429       0.636959
           0.98           0.48        0.22218       0.236162       0.579247      0.0311513         4.3863       0.171633       0.636948
           0.98           0.48       0.249855       0.287908         0.6295       0.037143        4.14552       0.191837       0.637175
           0.98           0.48       0.273341       0.339564       0.682731      0.0445589        3.94828       0.212041       0.636286
           0.98           0.48       0.300257       0.399147       0.731583      0.0514747        3.77976       0.232245        0.63783
           0.98           0.48       0.324086       0.461235       0.783506      0.0581924        3.62658       0.252449       0.637255
           0.98           0.48       0.352011       0.529966        0.83029      0.0663537        3.49032       0.272653        0.63759
           0.98           0.48       0.377555       0.598485       0.879497      0.0777378        3.36778       0.292857       0.637504
           0.98           0.48       0.403345       0.677571       0.927081      0.0824074        3.26536       0.313061       0.637486
           0.98           0.48       0.428367       0.756034       0.976206      0.0926986        3.16278       0.333265       0.637857
           0.98           0.48       0.454752        0.83755        1.02356       0.105946        3.06849       0.353469       0.637726
           0.98           0.48        0.47901       0.926031        1.07132        0.11285         2.9942       0.373673       0.638013
           0.98           0.48       0.506502        1.01708        1.11728        0.12748        2.91017       0.393878       0.637492
           0.98           0.48       0.529694        1.11123        1.16665       0.137403        2.83836       0.414082       0.638299
           0.98           0.48          0.558        1.21638        1.21024       0.147019        2.77558       0.434286       0.637992
           0.98           0.48       0.582979        1.31564        1.25704        0.16275        2.71388        0.45449       0.637946
           0.98           0.48        0.61306        1.43065         1.2984       0.173963        2.65591       0.474694       0.637996
           0.98           0.48       0.634158        1.53454        1.34881        0.18879        2.60362       0.494898       0.637568
           0.98           0.48       0.659198        1.64742        1.39583       0.205551        2.54849       0.515102       0.638087
           0.98           0.48       0.685437        1.76489         1.4404       0.222221        2.50019       0.535306       0.638304
           0.98           0.48       0.712669        1.88413        1.48413       0.243636        2.45407        0.55551       0.637709
           0.98           0.48       0.737068        2.01799        1.53051       0.250553        2.41229       0.575714       0.637929
           0.98           0.48        0.76647        2.14859        1.57196       0.273414        2.36805       0.595918       0.637918
           0.98           0.48       0.786056        2.26926        1.62273       0.293963        2.33418       0.616122       0.637901
           0.98           0.48       0.817776        2.42292        1.66184        0.30718        2.28965       0.636327        0.63838
           0.98           0.48       0.839282        2.54538        1.70962       0.336296        2.26328       0.656531       0.637751
           0.98           0.48       0.867127        2.70921        1.75287       0.342525        2.22154       0.676735       0.638557
           0.98           0.48       0.892596         2.8568        1.79838       0.365436        2.18118       0.696939       0.637497
           0.98           0.48        0.92026        3.01089        1.83898       0.385279        2.16133       0.717143       0.637143
           0.98           0.48       0.946685        3.17429        1.88282       0.402041         2.1286       0.737347       0.638028
           0.98           0.48       0.975246        3.33782        1.92429       0.426787        2.09581       0.757551       0.638244
           0.98           0.48       0.989083        3.46735        1.97972       0.459998        2.07383       0.777755       0.638111
           0.98           0.48        1.01584        3.63514        2.02094       0.481701        2.05758       0.797959       0.637386
           0.98           0.48        1.05976        3.85762        2.04818       0.494307        2.01299       0.818163        0.63811
           0.98           0.48        1.07432        3.99019        2.10234       0.537594         1.9959       0.838367       0.638001
           0.98           0.48        1.09895        4.16644        2.14681       0.562515        1.97347       0.858571       0.639127
           0.98           0.48         1.1148        4.31096        2.20043       0.605537        1.95187       0.878776       0.637675
           0.98           0.48        1.14616        4.48098        2.23772       0.658724        1.92896        0.89898       0.638407
           0.98           0.48        1.17504        4.72393        2.27823       0.640057        1.90366       0.919184       0.638861
           0.98           0.48        1.20612        4.88274        2.31578       0.713297          1.883       0.939388       0.638703
           0.98           0.48        1.22673        5.11712        2.36427       0.693191        1.86157       0.959592       0.637914
           0.98           0.48        1.24624        5.29468        2.41263       0.728266        1.84947       0.979796       0.638001
           0.98           0.48        1.28326        5.50501        2.44487       0.779079        1.82235              1       0.638342
