          Alpha           Beta        Kinetic   Kin Variance      Potential   Pot Variance  Mean Distance         Omega  Accepted configs (%)
           0.98           0.48       0.013357       0.002181      0.0867977     0.00163673        17.4881           0.01       0.633328
           0.98           0.48         0.0397      0.0128789       0.170812     0.00415379         10.237      0.0302041       0.634432
           0.98           0.48      0.0660261      0.0296787       0.239443     0.00688799        7.98788      0.0504082       0.635136
           0.98           0.48       0.091808       0.051701       0.302021     0.00991236        6.79832      0.0706122       0.635082
           0.98           0.48       0.118091      0.0788028        0.36181      0.0138897        5.98534      0.0908163       0.636451
           0.98           0.48       0.144464       0.109617       0.418136      0.0192222         5.4225        0.11102        0.63654
           0.98           0.48       0.171056       0.149563        0.47159      0.0204693        5.01877       0.131224       0.636383
           0.98           0.48       0.196063       0.189799       0.526658      0.0261064        4.66766       0.151429        0.63703
           0.98           0.48       0.220926       0.233265       0.580166      0.0330754        4.39581       0.171633        0.63651
           0.98           0.48       0.246882       0.285859       0.631493      0.0363957        4.16649       0.191837       0.636479
           0.98           0.48       0.272969       0.340196       0.683024      0.0436019        3.95159       0.212041       0.637345
           0.98           0.48        0.30256       0.403363       0.728951      0.0488697        3.77978       0.232245       0.636748
           0.98           0.48       0.325918       0.463615       0.781475       0.057297         3.6272       0.252449       0.637306
           0.98           0.48       0.350229        0.52615       0.832075      0.0684694        3.49225       0.272653       0.637765
           0.98           0.48        0.37662       0.601137       0.879881       0.073546        3.37278       0.292857       0.637456
           0.98           0.48       0.403328       0.675221       0.927898      0.0854623        3.25563       0.313061        0.63739
           0.98           0.48       0.431229       0.760653       0.973675      0.0914519        3.15638       0.333265       0.637672
           0.98           0.48       0.453427       0.838972         1.0231       0.101189        3.08544       0.353469       0.637936
           0.98           0.48       0.478453       0.925214        1.07206       0.113191        2.99411       0.373673       0.637984
           0.98           0.48       0.506267        1.02031         1.1171       0.123347        2.91264       0.393878       0.637632
           0.98           0.48       0.534394        1.11902        1.16113       0.134536        2.84325       0.414082       0.637711
           0.98           0.48       0.560394        1.21804        1.20859       0.149315        2.76565       0.434286       0.637874
           0.98           0.48        0.58648        1.32239        1.25402       0.161198        2.70754        0.45449       0.637999
           0.98           0.48       0.608215        1.41559        1.30394       0.183334        2.65268       0.474694       0.638284
           0.98           0.48       0.638711        1.54316        1.34588       0.188818        2.58892       0.494898       0.638474
           0.98           0.48       0.659746        1.64893        1.39486       0.204225        2.55198       0.515102       0.637883
           0.98           0.48       0.685886        1.76426        1.43981       0.223364        2.50182       0.535306       0.638613
           0.98           0.48        0.71231        1.88972        1.48478       0.238028        2.45335        0.55551       0.637778
           0.98           0.48       0.738683        2.01336        1.52982       0.259136        2.40449       0.575714       0.638442
           0.98           0.48       0.765822        2.15389        1.57265       0.267075         2.3673       0.595918       0.638005
           0.98           0.48       0.792516        2.28504        1.61695        0.29009        2.32377       0.616122       0.637751
           0.98           0.48       0.816692        2.42307        1.66203       0.303676        2.29676       0.636327       0.638103
           0.98           0.48        0.84339        2.56172        1.70647        0.32871        2.25483       0.656531       0.637661
           0.98           0.48       0.860691        2.69065        1.75875       0.348694        2.22789       0.676735       0.638329
           0.98           0.48       0.886856        2.83001        1.80258       0.378996        2.19522       0.696939       0.638595
           0.98           0.48       0.919526        2.99971        1.84122       0.398029         2.1509       0.717143       0.637509
           0.98           0.48       0.940389        3.14832        1.88908       0.415999        2.13054       0.737347       0.638222
           0.98           0.48       0.975213         3.3339        1.92429       0.430548        2.09589       0.757551       0.638141
           0.98           0.48        1.00071         3.5005        1.96932       0.452151        2.06227       0.777755       0.637665
           0.98           0.48        1.02313        3.65117        2.01487       0.482749        2.04669       0.797959       0.637823
           0.98           0.48        1.05013        3.83155        2.05751       0.500624        2.01958       0.818163       0.637158
           0.98           0.48        1.07341         3.9842        2.10404       0.543558        1.99167       0.838367       0.637864
           0.98           0.48          1.095          4.158        2.15111       0.563409         1.9715       0.858571       0.637506
           0.98           0.48        1.13262        4.38735        2.18289       0.567797        1.94324       0.878776       0.637798
           0.98           0.48        1.14599        4.50478        2.23806       0.635099        1.92861        0.89898       0.637987
           0.98           0.48        1.17053        4.52707        2.28172       0.824525        1.91194       0.919184       0.637555
           0.98           0.48        1.19721        4.89964        2.32473       0.676592        1.88536       0.939388       0.638664
           0.98           0.48        1.22849        5.11527        2.36233        0.69858        1.86259       0.959592       0.638128
           0.98           0.48        1.25183        5.31175        2.40736       0.724979        1.84623       0.979796       0.638203
           0.98           0.48        1.27801        5.51157        2.45029       0.760709        1.82342              1       0.637807
