          Alpha           Beta         Energy       Variance  Mean Distance          Omega
            0.5              1        3.91933        1.80996        2.36015              1
           0.52              1        3.84343        1.64423         2.3164              1
           0.54              1        3.73479        1.42164        2.25222              1
           0.56              1         3.6573        1.21265        2.21097              1
           0.58              1        3.58577        1.05991        2.17373              1
            0.6              1         3.5104       0.907223        2.13337              1
           0.62              1         3.4689       0.807085        2.11335              1
           0.64              1        3.41372       0.702998        2.07646              1
           0.66              1        3.37113       0.602276        2.05747              1
           0.68              1        3.31439       0.514723        2.01194              1
            0.7              1        3.28628       0.440118        1.98997              1
           0.72              1        3.24779         0.3744        1.95873              1
           0.74              1        3.19903       0.305352        1.91509              1
           0.76              1        3.17927       0.250981        1.90096              1
           0.78              1        3.15629       0.209677        1.88804              1
            0.8              1        3.12886       0.166024        1.85322              1
           0.82              1        3.10077       0.129009        1.83128              1
           0.84              1        3.08541       0.101479        1.81045              1
           0.86              1        3.06812      0.0747922        1.78562              1
           0.88              1        3.05259      0.0532564        1.76729              1
            0.9              1        3.04343      0.0370264        1.76142              1
           0.92              1        3.02914      0.0223836        1.73773              1
           0.94              1        3.02032      0.0125138        1.71164              1
           0.96              1        3.01233     0.00541307        1.68905              1
           0.98              1        3.00469     0.00128789         1.6699              1
              1              1              3   3.39762e-011        1.65356              1
           1.02              1        2.99635     0.00126686        1.63878              1
           1.04              1        2.99284     0.00506839        1.62958              1
           1.06              1         2.9908      0.0111584        1.61847              1
           1.08              1        2.99266      0.0192429          1.594              1
            1.1              1        2.99071       0.030429        1.58151              1
           1.12              1        2.99354      0.0423511         1.5679              1
           1.14              1        2.99508      0.0567625        1.54997              1
           1.16              1        2.99487      0.0729556        1.54226              1
           1.18              1        3.00143      0.0909011        1.53262              1
            1.2              1         3.0067       0.109319         1.5108              1
           1.22              1        3.01463        0.13005        1.49449              1
           1.24              1        3.01735        0.15602        1.49196              1
           1.26              1        3.02224       0.180871        1.48153              1
           1.28              1        3.02805       0.204097        1.47058              1
            1.3              1        3.03303       0.233621         1.4577              1
           1.32              1        3.05367       0.254207         1.4417              1
           1.34              1        3.06075       0.284018        1.43825              1
           1.36              1        3.07365       0.317626        1.42081              1
           1.38              1        3.07988       0.353223        1.41298              1
            1.4              1        3.09265       0.384208        1.40441              1
           1.42              1        3.09775       0.432196        1.39757              1
           1.44              1        3.11374       0.445145        1.38972              1
           1.46              1        3.12307       0.493115        1.38049              1
           1.48              1        3.14097       0.524913        1.37137              1
