          Alpha           Beta        Kinetic   Kin Variance      Potential   Pot Variance  Mean Distance         Omega  Accepted configs (%)
           0.98           0.48      0.0133186     0.00222774      0.0866937     0.00157359        17.5246           0.01       0.632357
           0.98           0.48      0.0397886       0.012446       0.170999     0.00465163         10.221      0.0302041       0.635424
           0.98           0.48      0.0660845      0.0301309       0.239769     0.00656687        7.97496      0.0504082       0.634745
           0.98           0.48      0.0913766       0.051523        0.30295      0.0101263         6.7923      0.0706122       0.635001
           0.98           0.48       0.117481       0.078942       0.361456       0.013148        6.01988      0.0908163       0.636154
           0.98           0.48       0.145353       0.112559       0.417573       0.016935        5.41822        0.11102       0.636385
           0.98           0.48       0.169125       0.148185       0.474272      0.0211358         5.0139       0.131224       0.636762
           0.98           0.48       0.193638       0.186934        0.52868      0.0272914        4.68865       0.151429       0.636808
           0.98           0.48       0.222413       0.236452       0.578855      0.0311132        4.39299       0.171633       0.637315
           0.98           0.48       0.246503       0.281987       0.632077      0.0401268        4.16272       0.191837       0.636909
           0.98           0.48       0.276867       0.344034       0.679074      0.0428032        3.94409       0.212041       0.637336
           0.98           0.48       0.300563       0.399806         0.7317      0.0513219          3.775       0.232245       0.637645
           0.98           0.48       0.327918       0.465919       0.779537      0.0568276        3.62025       0.252449       0.637149
           0.98           0.48       0.352959       0.532989        0.82976      0.0646449        3.48555       0.272653       0.637214
           0.98           0.48        0.37656       0.600492       0.879844      0.0741194        3.37551       0.292857       0.637143
           0.98           0.48       0.399865       0.672557       0.930476      0.0837936        3.27134       0.313061       0.637136
           0.98           0.48       0.428585       0.754588       0.975738      0.0940898        3.16386       0.333265       0.637475
           0.98           0.48       0.453691       0.838165        1.02434       0.103787        3.06934       0.353469       0.637453
           0.98           0.48       0.480172       0.922252        1.06964       0.117477         2.9997       0.373673       0.637633
           0.98           0.48       0.505786        1.01705        1.11803       0.126582        2.91022       0.393878       0.637701
           0.98           0.48        0.53313        1.11522        1.16317        0.13774        2.83682       0.414082       0.638179
           0.98           0.48       0.558657        1.21784        1.20907       0.145691        2.77757       0.434286       0.638542
           0.98           0.48       0.582235        1.31729        1.25716       0.159193        2.71849        0.45449       0.638152
           0.98           0.48       0.606359         1.4211        1.30576       0.175092        2.65348       0.474694       0.637389
           0.98           0.48       0.640781        1.54758         1.3431       0.186298        2.59248       0.494898       0.637315
           0.98           0.48       0.656966         1.6408        1.39748       0.207943        2.55238       0.515102       0.637268
           0.98           0.48       0.684809        1.76653        1.44126       0.220021        2.49949       0.535306       0.638037
           0.98           0.48       0.712747        1.89275        1.48466       0.236091        2.44992        0.55551        0.63749
           0.98           0.48       0.736056        2.01101        1.53166       0.256231        2.41295       0.575714       0.638133
           0.98           0.48       0.757358        2.12479        1.58078       0.281977        2.37539       0.595918       0.638182
           0.98           0.48       0.790325        2.27651         1.6189       0.294641         2.3287       0.616122       0.638354
           0.98           0.48       0.813803        2.41534        1.66516       0.306917        2.29588       0.636327       0.638317
           0.98           0.48       0.850671        2.58805        1.69897       0.314375        2.25234       0.656531       0.638273
           0.98           0.48        0.86477        2.69523        1.75495       0.351839        2.22375       0.676735       0.637994
           0.98           0.48       0.890086         2.8471        1.79925       0.367528        2.19378       0.696939       0.637722
           0.98           0.48       0.913472        2.99007         1.8468       0.395581        2.15711       0.717143       0.637614
           0.98           0.48       0.948043        3.17786        1.88301       0.404063        2.11709       0.737347       0.638263
           0.98           0.48        0.97264        3.33113         1.9272       0.429156        2.09487       0.757551       0.638094
           0.98           0.48        1.00453        3.51458        1.96438       0.443174        2.06808       0.777755       0.638342
           0.98           0.48        1.02351        3.61591        2.01522       0.520305        2.04167       0.797959       0.639231
           0.98           0.48        1.05106        3.83909        2.05644       0.494664        2.01981       0.818163       0.638366
           0.98           0.48        1.07684        3.94084        2.10043       0.593537        1.99117       0.838367       0.637934
           0.98           0.48        1.09744        4.16792        2.14911       0.559683        1.96885       0.858571       0.637944
           0.98           0.48        1.13217        4.37911        2.18356        0.57563        1.94267       0.878776       0.638163
           0.98           0.48        1.14289        4.50572        2.24089       0.626638         1.9308        0.89898        0.63872
           0.98           0.48        1.17831        4.73488        2.27461       0.635509        1.90458       0.919184       0.637986
           0.98           0.48        1.21089        4.94605        2.31097       0.660456        1.88208       0.939388       0.638403
           0.98           0.48        1.22471        5.11014         2.3667       0.696683        1.85983       0.959592       0.637805
           0.98           0.48        1.25513        5.32685        2.40405       0.717432        1.84426       0.979796       0.638427
           0.98           0.48        1.28098        5.52815        2.44657       0.749173        1.82784              1       0.638072
