          Alpha           Beta        Kinetic   Kin Variance      Potential   Pot Variance  Mean Distance         Omega  Accepted configs (%)
           0.98           0.36       0.013176     0.00215054       0.084427     0.00123214        17.9873           0.01        0.63517
           0.98           0.36      0.0391441        0.01216       0.167532     0.00351854        10.5342      0.0302041       0.635923
           0.98           0.36      0.0652348      0.0288035       0.235218     0.00537496        8.24755      0.0504082        0.63703
           0.98           0.36      0.0910813        0.05028        0.29808     0.00828964        6.99219      0.0706122       0.638079
           0.98           0.36       0.116583      0.0774163       0.357751      0.0107583        6.16883      0.0908163       0.637636
           0.98           0.36        0.14319       0.108917        0.41396      0.0149018        5.59081        0.11102       0.638695
           0.98           0.36       0.167797        0.14467       0.469917      0.0186147        5.16276       0.131224       0.639324
           0.98           0.36        0.19297       0.184286       0.524323       0.023882        4.80831       0.151429       0.639121
           0.98           0.36       0.218304       0.229373       0.577238      0.0286736        4.52932       0.171633       0.638758
           0.98           0.36       0.245507        0.28168       0.627908      0.0327477        4.27595       0.191837       0.639082
           0.98           0.36       0.270404       0.333318       0.679954       0.040632         4.0687       0.212041        0.63924
           0.98           0.36       0.294523       0.390282        0.73176       0.047052        3.89826       0.232245       0.639415
           0.98           0.36       0.320409       0.453778       0.781798      0.0535573        3.73342       0.252449       0.639885
           0.98           0.36       0.347771       0.522421        0.82956      0.0608695        3.59005       0.272653       0.639769
           0.98           0.36       0.372006       0.588882       0.879963      0.0720814        3.46578       0.292857         0.6393
           0.98           0.36       0.394758       0.660397       0.930994      0.0808845        3.36515       0.313061       0.639516
           0.98           0.36       0.421698       0.743566       0.978597      0.0879799        3.25051       0.333265       0.639734
           0.98           0.36        0.44902        0.81112        1.02499       0.115455        3.15043       0.353469       0.639593
           0.98           0.36       0.474979       0.913868         1.0717       0.110201        3.07331       0.373673       0.640382
           0.98           0.36       0.502191        1.00797         1.1186       0.121423         2.9745       0.393878       0.639744
           0.98           0.36       0.520549        1.09013        1.17122        0.13497        2.92891       0.414082       0.639888
           0.98           0.36        0.54677        1.18778        1.21808        0.14989        2.84988       0.434286       0.640191
           0.98           0.36       0.576752        1.29791        1.26076       0.161913        2.77825        0.45449        0.64064
           0.98           0.36       0.598025        1.39726        1.31122       0.176409        2.72201       0.474694        0.63968
           0.98           0.36       0.628033        1.51791        1.35313       0.186954        2.66085       0.494898       0.639815
           0.98           0.36       0.648235        1.62082        1.40419       0.204795        2.61557       0.515102       0.639669
           0.98           0.36       0.677926        1.74754        1.44551       0.217238        2.56602       0.535306        0.64025
           0.98           0.36       0.705702        1.87022        1.48954       0.236873        2.50969        0.55551       0.640179
           0.98           0.36       0.728073        1.99236        1.53809       0.251909        2.46832       0.575714       0.640278
           0.98           0.36       0.756919         2.1266        1.58011       0.269894        2.42452       0.595918       0.639991
           0.98           0.36       0.774599        2.24356        1.63334       0.291116        2.38575       0.616122       0.640852
           0.98           0.36       0.812068        2.40234        1.66591       0.307431        2.34667       0.636327       0.639714
           0.98           0.36       0.832259         2.5334        1.71666       0.328001        2.30668       0.656531       0.640692
           0.98           0.36       0.848527        2.65214        1.77056       0.356426         2.2789       0.676735       0.639962
           0.98           0.36         0.8811        2.81757        1.80813        0.37236        2.24137       0.696939       0.640273
           0.98           0.36        0.90121        2.95788        1.85791       0.394389         2.2143       0.717143       0.639797
           0.98           0.36       0.930235        3.11948        1.89952       0.417902        2.17309       0.737347        0.64016
           0.98           0.36       0.953083        3.27259        1.94637       0.440746        2.14596       0.757551        0.63988
           0.98           0.36       0.980677        3.43106        1.98838       0.471948        2.11823       0.777755       0.641031
           0.98           0.36        1.00464        3.59924        2.03377       0.490126        2.09509       0.797959       0.639984
           0.98           0.36        1.03626        3.78925        2.07207       0.507968         2.0609       0.818163       0.639505
           0.98           0.36        1.05198        3.92667        2.12551       0.548012        2.04375       0.838367       0.639593
           0.98           0.36        1.07753        4.09769        2.16943       0.580122        2.01745       0.858571       0.640159
           0.98           0.36        1.10415        4.29266        2.21217       0.594932        1.99213       0.878776       0.640222
           0.98           0.36        1.13821        4.50519        2.24733       0.612982        1.96386        0.89898       0.639949
           0.98           0.36         1.1637        4.67867        2.29091         0.6554        1.94166       0.919184       0.639998
           0.98           0.36        1.18743        4.87661        2.33634       0.673997        1.91868       0.939388       0.639727
           0.98           0.36        1.20033        5.02689        2.39191       0.717282        1.91084       0.959592       0.639918
           0.98           0.36        1.23902        5.25968        2.42206       0.744198        1.88373       0.979796       0.639795
           0.98           0.36        1.26745        5.49431        2.46253       0.749736         1.8617              1       0.639479
