n = 100
x              v
0       0.375642
0.010101       0.741082
0.020202        1.09642
0.030303        1.44176
0.040404         1.7772
0.0505051        2.10284
0.0606061        2.41879
0.0707071        2.72512
0.0808081        3.02196
0.0909091        3.30938
0.10101        3.58748
0.111111        3.85636
0.121212        4.11612
0.131313        4.36683
0.141414         4.6086
0.151515         4.8415
0.161616        5.06564
0.171717         5.2811
0.181818        5.48797
0.191919        5.68633
0.20202        5.87627
0.212121        6.05787
0.222222        6.23122
0.232323         6.3964
0.242424        6.55349
0.252525        6.70257
0.262626        6.84373
0.272727        6.97704
0.282828        7.10259
0.292929        7.22044
0.30303        7.33068
0.313131        7.43339
0.323232        7.52864
0.333333         7.6165
0.343434        7.69705
0.353535        7.77036
0.363636        7.83651
0.373737        7.89557
0.383838         7.9476
0.393939        7.99269
0.40404        8.03089
0.414141        8.06228
0.424242        8.08693
0.434343        8.10491
0.444444        8.11627
0.454545        8.12109
0.464646        8.11944
0.474747        8.11137
0.484848        8.09696
0.494949        8.07627
0.505051        8.04935
0.515152        8.01628
0.525253        7.97712
0.535354        7.93191
0.545455        7.88074
0.555556        7.82365
0.565657        7.76071
0.575758        7.69197
0.585859         7.6175
0.59596        7.53735
0.606061        7.45157
0.616162        7.36023
0.626263        7.26338
0.636364        7.16107
0.646465        7.05337
0.656566        6.94032
0.666667        6.82197
0.676768        6.69839
0.686869        6.56963
0.69697        6.43573
0.707071        6.29675
0.717172        6.15273
0.727273        6.00374
0.737374        5.84982
0.747475        5.69101
0.757576        5.52737
0.767677        5.35896
0.777778         5.1858
0.787879        5.00796
0.79798        4.82548
0.808081         4.6384
0.818182        4.44678
0.828283        4.25065
0.838384        4.05007
0.848485        3.84507
0.858586        3.63571
0.868687        3.42202
0.878788        3.20406
0.888889        2.98186
0.89899        2.75546
0.909091        2.52491
0.919192        2.29025
0.929293        2.05152
0.939394        1.80876
0.949495        1.56201
0.959596        1.31132
0.969697        1.05671
0.979798       0.798242
0.989899       0.535941
1       0.269847
