n = 1000
x              v
0.313313       0.643428
0.314314       0.642862
0.315315       0.642292
0.316316       0.641718
0.317317       0.641139
0.318318       0.640556
0.319319       0.639969
0.32032       0.639378
0.321321       0.638783
0.322322       0.638183
0.323323        0.63758
0.324324       0.636973
0.325325       0.636362
0.326326       0.635747
0.327327       0.635128
0.328328       0.634505
0.329329       0.633879
0.33033       0.633249
0.331331       0.632615
0.332332       0.631977
0.333333       0.631336
0.334334       0.630692
0.335335       0.630044
0.336336       0.629392
0.337337       0.628737
0.338338       0.628078
0.339339       0.627416
0.34034       0.626751
0.341341       0.626082
0.342342        0.62541
0.343343       0.624735
0.344344       0.624056
0.345345       0.623375
0.346346        0.62269
0.347347       0.622002
0.348348       0.621311
0.349349       0.620617
0.35035       0.619919
0.351351       0.619219
0.352352       0.618516
0.353353        0.61781
0.354354       0.617101
0.355355       0.616389
0.356356       0.615674
0.357357       0.614956
0.358358       0.614236
0.359359       0.613512
0.36036       0.612786
0.361361       0.612058
0.362362       0.611326
0.363363       0.610592
0.364364       0.609855
0.365365       0.609116
0.366366       0.608374
0.367367       0.607629
0.368368       0.606882
0.369369       0.606132
0.37037        0.60538
0.371371       0.604626
0.372372       0.603869
0.373373       0.603109
0.374374       0.602347
0.375375       0.601583
0.376376       0.600816
0.377377       0.600047
0.378378       0.599276
0.379379       0.598503
0.38038       0.597727
0.381381       0.596949
0.382382       0.596169
0.383383       0.595386
0.384384       0.594602
0.385385       0.593815
0.386386       0.593026
0.387387       0.592235
0.388388       0.591442
0.389389       0.590647
0.39039        0.58985
0.391391       0.589051
0.392392        0.58825
0.393393       0.587447
0.394394       0.586642
0.395395       0.585835
0.396396       0.585026
0.397397       0.584215
0.398398       0.583402
0.399399       0.582588
0.4004       0.581771
0.401401       0.580953
0.402402       0.580133
0.403403       0.579311
0.404404       0.578488
0.405405       0.577662
0.406406       0.576835
0.407407       0.576006
0.408408       0.575176
0.409409       0.574344
0.41041        0.57351
0.411411       0.572674
0.412412       0.571837
0.413413       0.570998
0.414414       0.570158
0.415415       0.569316
0.416416       0.568472
0.417417       0.567627
0.418418        0.56678
0.419419       0.565932
0.42042       0.565082
0.421421       0.564231
0.422422       0.563378
0.423423       0.562524
0.424424       0.561669
0.425425       0.560812
0.426426       0.559953
0.427427       0.559093
0.428428       0.558232
0.429429       0.557369
0.43043       0.556505
0.431431        0.55564
0.432432       0.554773
0.433433       0.553905
0.434434       0.553036
0.435435       0.552165
0.436436       0.551293
0.437437        0.55042
0.438438       0.549545
0.439439        0.54867
0.44044       0.547793
0.441441       0.546914
0.442442       0.546035
0.443443       0.545154
0.444444       0.544273
0.445445        0.54339
0.446446       0.542506
0.447447        0.54162
0.448448       0.540734
0.449449       0.539846
0.45045       0.538958
0.451451       0.538068
0.452452       0.537177
0.453453       0.536285
0.454454       0.535392
0.455455       0.534498
0.456456       0.533603
0.457457       0.532706
0.458458       0.531809
0.459459       0.530911
0.46046       0.530011
0.461461       0.529111
0.462462        0.52821
0.463463       0.527308
0.464464       0.526404
0.465465         0.5255
0.466466       0.524595
0.467467       0.523689
0.468468       0.522782
0.469469       0.521874
0.47047       0.520965
0.471471       0.520055
0.472472       0.519145
0.473473       0.518233
0.474474       0.517321
0.475475       0.516407
0.476476       0.515493
0.477477       0.514578
0.478478       0.513662
0.479479       0.512745
0.48048       0.511828
0.481481        0.51091
0.482482        0.50999
0.483483        0.50907
0.484484        0.50815
0.485485       0.507228
0.486486       0.506306
0.487487       0.505383
0.488488       0.504459
0.489489       0.503534
0.49049       0.502609
0.491491       0.501683
0.492492       0.500756
0.493493       0.499828
0.494494         0.4989
0.495495       0.497971
0.496496       0.497041
0.497497        0.49611
0.498498       0.495179
0.499499       0.494248
0.500501       0.493315
0.501502       0.492382
0.502503       0.491448
0.503504       0.490514
0.504505       0.489578
0.505506       0.488643
0.506507       0.487706
0.507508       0.486769
0.508509       0.485831
0.50951       0.484893
0.510511       0.483954
0.511512       0.483015
0.512513       0.482075
0.513514       0.481134
0.514515       0.480192
0.515516       0.479251
0.516517       0.478308
0.517518       0.477365
0.518519       0.476421
0.51952       0.475477
0.520521       0.474533
0.521522       0.473587
0.522523       0.472641
0.523524       0.471695
0.524525       0.470748
0.525526       0.469801
0.526527       0.468853
0.527528       0.467904
0.528529       0.466955
0.52953       0.466006
0.530531       0.465056
0.531532       0.464105
0.532533       0.463154
0.533534       0.462203
0.534535       0.461251
0.535536       0.460298
0.536537       0.459346
0.537538       0.458392
0.538539       0.457438
0.53954       0.456484
0.540541       0.455529
0.541542       0.454574
0.542543       0.453618
0.543544       0.452662
0.544545       0.451706
0.545546       0.450749
0.546547       0.449791
0.547548       0.448834
0.548549       0.447875
0.54955       0.446917
0.550551       0.445958
0.551552       0.444998
0.552553       0.444038
0.553554       0.443078
0.554555       0.442117
0.555556       0.441156
0.556557       0.440195
0.557558       0.439233
0.558559       0.438271
0.55956       0.437308
0.560561       0.436345
0.561562       0.435382
0.562563       0.434418
0.563564       0.433454
0.564565        0.43249
0.565566       0.431525
0.566567        0.43056
0.567568       0.429595
0.568569       0.428629
0.56957       0.427663
0.570571       0.426696
0.571572       0.425729
0.572573       0.424762
0.573574       0.423795
0.574575       0.422827
0.575576       0.421859
0.576577       0.420891
0.577578       0.419922
0.578579       0.418953
0.57958       0.417983
0.580581       0.417014
0.581582       0.416044
0.582583       0.415073
0.583584       0.414103
0.584585       0.413132
0.585586       0.412161
0.586587        0.41119
0.587588       0.410218
0.588589       0.409246
0.58959       0.408274
0.590591       0.407301
0.591592       0.406328
0.592593       0.405355
0.593594       0.404382
0.594595       0.403408
0.595596       0.402434
0.596597        0.40146
0.597598       0.400486
0.598599       0.399511
0.5996       0.398536
0.600601       0.397561
0.601602       0.396586
0.602603        0.39561
0.603604       0.394634
0.604605       0.393658
0.605606       0.392681
0.606607       0.391705
0.607608       0.390728
0.608609       0.389751
0.60961       0.388774
0.610611       0.387796
0.611612       0.386818
0.612613        0.38584
0.613614       0.384862
0.614615       0.383884
0.615616       0.382905
0.616617       0.381926
0.617618       0.380947
0.618619       0.379968
0.61962       0.378989
0.620621       0.378009
0.621622       0.377029
0.622623       0.376049
0.623624       0.375069
0.624625       0.374088
0.625626       0.373108
0.626627       0.372127
0.627628       0.371146
0.628629       0.370165
0.62963       0.369183
0.630631       0.368202
0.631632        0.36722
0.632633       0.366238
0.633634       0.365256
0.634635       0.364274
0.635636       0.363291
0.636637       0.362308
0.637638       0.361326
0.638639       0.360343
0.63964       0.359359
0.640641       0.358376
0.641642       0.357393
0.642643       0.356409
0.643644       0.355425
0.644645       0.354441
0.645646       0.353457
0.646647       0.352473
0.647648       0.351488
0.648649       0.350504
0.64965       0.349519
0.650651       0.348534
0.651652       0.347549
0.652653       0.346564
0.653654       0.345578
0.654655       0.344593
0.655656       0.343607
0.656657       0.342621
0.657658       0.341635
0.658659       0.340649
0.65966       0.339663
0.660661       0.338677
0.661662        0.33769
0.662663       0.336704
0.663664       0.335717
0.664665        0.33473
0.665666       0.333743
0.666667       0.332756
0.667668       0.331769
0.668669       0.330781
0.66967       0.329794
0.670671       0.328806
0.671672       0.327818
0.672673        0.32683
0.673674       0.325842
0.674675       0.324854
0.675676       0.323866
0.676677       0.322878
0.677678       0.321889
0.678679       0.320901
0.67968       0.319912
0.680681       0.318923
0.681682       0.317934
0.682683       0.316945
0.683684       0.315956
0.684685       0.314967
0.685686       0.313977
0.686687       0.312988
0.687688       0.311998
0.688689       0.311009
0.68969       0.310019
0.690691       0.309029
0.691692       0.308039
0.692693       0.307049
0.693694       0.306059
0.694695       0.305068
0.695696       0.304078
0.696697       0.303088
0.697698       0.302097
0.698699       0.301106
0.6997       0.300116
0.700701       0.299125
0.701702       0.298134
0.702703       0.297143
0.703704       0.296152
0.704705       0.295161
0.705706       0.294169
0.706707       0.293178
0.707708       0.292187
0.708709       0.291195
0.70971       0.290203
0.710711       0.289212
0.711712        0.28822
0.712713       0.287228
0.713714       0.286236
0.714715       0.285244
0.715716       0.284252
0.716717        0.28326
0.717718       0.282267
0.718719       0.281275
0.71972       0.280283
0.720721        0.27929
0.721722       0.278298
0.722723       0.277305
0.723724       0.276312
0.724725        0.27532
0.725726       0.274327
0.726727       0.273334
0.727728       0.272341
0.728729       0.271348
0.72973       0.270355
0.730731       0.269361
0.731732       0.268368
0.732733       0.267375
0.733734       0.266381
0.734735       0.265388
0.735736       0.264394
0.736737       0.263401
0.737738       0.262407
0.738739       0.261413
0.73974        0.26042
0.740741       0.259426
0.741742       0.258432
0.742743       0.257438
0.743744       0.256444
0.744745        0.25545
0.745746       0.254456
0.746747       0.253462
0.747748       0.252467
0.748749       0.251473
0.74975       0.250479
0.750751       0.249484
0.751752        0.24849
0.752753       0.247495
0.753754       0.246501
0.754755       0.245506
0.755756       0.244511
0.756757       0.243517
0.757758       0.242522
0.758759       0.241527
