# First row contains the n, rho_max and omega values respectively. The other rows contains the data to be plotted 
# First column contains rho values. The other values contains smallest 3 eigenvectors 
150             10              5
7.54967   1.09338e-025   3.90707e-026   6.62383e-028
7.61589   4.82743e-027   1.80122e-027   6.78908e-026
7.68212   1.49953e-025   3.96064e-027    1.8841e-027
7.74834   7.10899e-029   4.03792e-027   6.48113e-026
7.81457   2.92798e-026   1.89277e-028   6.86909e-027
7.88079   1.72927e-027   6.42709e-029   4.53813e-027
7.94702   1.45944e-025   5.40574e-029   4.57377e-027
8.01325   4.71592e-026   7.17675e-028   7.88798e-028
8.07947   3.61889e-026   7.15113e-027   9.57417e-028
8.1457   4.76556e-028   6.60404e-028   1.66202e-026
8.21192   1.06532e-025   7.84635e-027   4.49582e-027
8.27815   1.66821e-027   2.33325e-028   9.19888e-026
8.34437   2.75976e-025   2.91961e-026   1.45766e-025
8.4106   1.81402e-025    8.2762e-029   1.23123e-025
8.47682    5.7564e-029   1.90888e-026   7.80412e-027
8.54305   8.84358e-029   9.02322e-027   1.02228e-026
8.60927   5.88252e-026   5.51351e-028   3.10224e-027
8.6755   1.13025e-025   4.07924e-026   5.22799e-026
8.74172   8.88973e-027   1.73014e-026   1.55529e-026
8.80795   1.78951e-026   1.74917e-026   7.36046e-027
8.87417   1.86392e-026   7.31502e-026    9.7522e-026
8.9404   4.68043e-028   4.15692e-026   1.77936e-028
9.00662   5.36733e-027   1.45599e-027    6.5027e-026
9.07285   7.22121e-028   1.87568e-026   3.48196e-028
9.13907   3.93229e-026   8.92266e-026   1.75295e-026
9.2053   7.97786e-026   7.92756e-026   6.65258e-028
9.27152   5.91906e-026   4.32943e-026   6.20305e-028
9.33775   1.67322e-026   1.40636e-026   2.07632e-026
9.40397   9.59304e-028   4.08728e-027    1.7175e-028
9.4702    1.8373e-028   7.36247e-028   6.34845e-026
9.53642   1.74372e-029   2.43326e-028   5.32488e-026
9.60265   9.62905e-028   1.87048e-028   2.75911e-029
9.66887   2.74136e-027   3.41772e-032   1.21354e-026
9.7351   2.30096e-027   2.25094e-028   1.45957e-028
9.80132    1.3988e-027    4.8183e-028   4.60718e-026
9.86755   1.03769e-027   4.95275e-028   8.61685e-026
9.93377   4.63071e-028   2.92467e-028   3.81491e-026
