# First row contains the n, rho_max and omega values respectively. The other rows contains the data to be plotted 
# First column contains rho values. The other values contains smallest 3 eigenvectors 
150             10            0.5
7.41722   1.58486e-011   4.37724e-009   3.75257e-007
7.48344   9.96657e-012   2.85451e-009   2.54766e-007
7.54967   6.23887e-012   1.85228e-009   1.72023e-007
7.61589   3.88753e-012   1.19599e-009   1.15524e-007
7.68212   2.41129e-012   7.68426e-010   7.71638e-008
7.74834    1.4888e-012   4.91286e-010   5.12645e-008
7.81457   9.15026e-013   3.12557e-010    3.3876e-008
7.88079   5.59816e-013   1.97876e-010   2.22664e-008
7.94702   3.40936e-013    1.2466e-010   1.45579e-008
8.01325   2.06691e-013    7.8152e-011   9.46781e-009
8.07947   1.24734e-013   4.87567e-011   6.12503e-009
8.1457   7.49324e-014   3.02701e-011    3.9417e-009
8.21192    4.4811e-014   1.87018e-011   2.52339e-009
8.27815   2.66755e-014   1.14986e-011   1.60701e-009
8.34437   1.58071e-014    7.0357e-012    1.0181e-009
8.4106   9.32474e-015   4.28422e-012   6.41672e-010
8.47682    5.4756e-015   2.59622e-012   4.02336e-010
8.54305   3.20081e-015   1.56575e-012   2.50972e-010
8.60927   1.86264e-015   9.39753e-013    1.5575e-010
8.6755   1.07919e-015   5.61331e-013   9.61619e-011
8.74172   6.22385e-016    3.3369e-013   5.90682e-011
8.80795   3.57355e-016   1.97415e-013    3.6098e-011
8.87417    2.0433e-016   1.16235e-013   2.19478e-011
8.9404   1.16294e-016   6.81097e-014   1.32762e-011
9.00662   6.58909e-017   3.97163e-014    7.9895e-012
9.07285   3.71781e-017   2.30471e-014   4.78305e-012
9.13907   2.08817e-017   1.33077e-014   2.84832e-012
9.2053   1.16643e-017   7.64501e-015    1.6869e-012
9.27152   6.48879e-018    4.3686e-015   9.93275e-013
9.33775   3.59199e-018   2.48183e-015   5.81152e-013
9.40397   1.97477e-018   1.40035e-015   3.37535e-013
9.4702   1.07698e-018   7.83592e-016    1.9427e-013
9.53642   5.85113e-019   4.33783e-016   1.10462e-013
9.60265   3.12726e-019   2.36245e-016   6.17034e-014
9.66887   1.62597e-019    1.2532e-016   3.35105e-014
9.7351    8.1053e-020   6.34987e-017   1.73417e-014
9.80132   3.76048e-020   2.94761e-017   8.20005e-015
9.86755    1.4606e-020   1.13428e-017   3.20214e-015
9.93377   3.34667e-021   2.59257e-018    2.6597e-123
